Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
BrC1=C(OCCNC(=O)OCC2=CC=CC=C2)C=C(C=C1)C1=CC(OCCNC(=O)OCC2=CC=CC=C2)=CC=C1;N#C[Zn]C#N;O=C(NCCOC1=CC=CC(=C1)C1=CC(OCCNC(=O)OCC2=CC=CC=C2)=C(C=C1)C#N)OCC1=CC=CC=C1;0.84;[1, 1];[32];[59];[];[83, 71];79
CCCC[C@H](CO)NC(=O)C1=C(C)N=C2N1C=C(Br)C=C2OCC1=C(F)C=CC=C1F;N#C[Zn]C#N;CCCC[C@H](CO)NC(=O)C1=C(C)N=C2N1C=C(C=C2OCC1=C(F)C=CC=C1F)C#N;0.64;[1];[45, 44];[59];[61];[];80
CC(=O)C1=CC(F)=C(Br)C=C1;N#C[Zn]C#N;CC(=O)C1=CC=C(C#N)C(F)=C1;0.981;[1];[45, 44];[59];[61];[];81
FC1=CC(=CC=C1Br)C1=NN2C(CC3=CC=C4N=CC=CC4=C3)=CN=C2N=C1;N#C[Zn]C#N;FC1=CC(=CC=C1C#N)C1=NN2C(CC3=CC=C4N=CC=CC4=C3)=CN=C2N=C1;0.9;[1];[45, 44];[59];[61];[];82
FC1=CC(=CC=C1Br)C1=NN2C(CC3=CC=C4N=CC=NC4=C3)=CN=C2N=C1;N#C[Zn]C#N;FC1=CC(=CC=C1C#N)C1=NN2C(CC3=CC=C4N=CC=NC4=C3)=CN=C2N=C1;0.62;[1];[45, 44];[59];[61];[];83
CN1C=NC2=C1N=C(SCCC(F)(F)F)N(C2=O)C1=CC=C(Cl)C(Br)=C1;N#C[Zn]C#N;CN1C=NC2=C1N=C(SCCC(F)(F)F)N(C2=O)C1=CC=C(Cl)C(=C1)C#N;0.31;[5];[];[59];[65];[71];84
CCOC(=O)[C@@](C)(C[C@H]1CC(=NO1)C1=CC=C(Br)C=C1)S(C)(=O)=O;CCC[Zn]Br;CCCC1=CC=C(C=C1)C1=NO[C@@H](C[C@](C)(C(=O)OCC)S(C)(=O)=O)C1;0.55;[5];[];[59];[60];[72];85
CCOC(=O)[C@@](C)(C[C@H]1CC(=NO1)C1=CC=C(Br)C=C1)S(C)(=O)=O;CCC[Zn]Br;CCCC1=CC=C(C=C1)C1=NO[C@@H](C[C@](C)(C(=O)OCC)S(C)(=O)=O)C1;0.55;[5];[];[59];[60];[72];86
N#C[Zn]C#N;COC1=CC=C2C=CC(OS(=O)(=O)C(F)(F)F)=CC2=C1;COC1=CC=C2C=CC(=CC2=C1)C#N;0.86;[3, 3];[35];[59];[];[];87
CCN(CC1=CC(=O)N2C(SC(C)=C2Br)=N1)C1=CC=C(F)C=C1;N#C[Zn]C#N;CCN(CC1=CC(=O)N2C(SC(C)=C2C#N)=N1)C1=CC=C(F)C=C1;0.33;[1];[32];[59];[61];[];88
